,0,1,2,3,4,5
0,,,,,,
1,World,"8,021,407,192","8,091,734,930",+0.88%,–,–
2,India,"1,425,423,212","1,438,069,596",+0.89%,Asia,Southern Asia
3,China[a],"1,425,179,569","1,422,584,933",−0.18%,Asia,Eastern Asia
4,United States,"341,534,046","343,477,335",+0.57%,Americas,Northern America
5,Indonesia,"278,830,529","281,190,067",+0.85%,Asia,South-eastern Asia
6,Pakistan,"243,700,667","247,504,495",+1.56%,Asia,Southern Asia
7,Nigeria,"223,150,896","227,882,945",+2.12%,Africa,Western Africa
8,Brazil,"210,306,415","211,140,729",+0.40%,Americas,South America
9,Bangladesh,"169,384,897","171,466,990",+1.23%,Asia,Southern Asia
10,Russia,"145,579,899","145,440,500",−0.10%,Europe,Eastern Europe
11,Mexico,"128,613,117","129,739,759",+0.88%,Americas,Central America
12,Ethiopia,"125,384,287","128,691,692",+2.64%,Africa,Eastern Africa
13,Japan,"124,997,578","124,370,947",−0.50%,Asia,Eastern Asia
14,Philippines,"113,964,338","114,891,199",+0.81%,Asia,South-eastern Asia
15,Egypt,"112,618,250","114,535,772",+1.70%,Africa,Northern Africa
16,DR Congo,"102,396,968","105,789,731",+3.31%,Africa,Middle Africa
17,Vietnam,"99,680,655","100,352,192",+0.67%,Asia,South-eastern Asia
18,Iran,"89,524,246","90,608,707",+1.21%,Asia,Southern Asia
19,Turkey,"87,058,473","87,270,501",+0.24%,Asia,Western Asia
20,Germany,"84,086,227","84,548,231",+0.55%,Europe,Western Europe
21,Thailand,"71,735,329","71,702,435",−0.05%,Asia,South-eastern Asia
22,United Kingdom,"68,179,315","68,682,962",+0.74%,Europe,Northern Europe
23,Tanzania[b],"64,711,821","66,617,606",+2.95%,Africa,Eastern Africa
24,France[c],"66,277,409","66,438,822",+0.24%,Europe,Western Europe
25,South Africa,"62,378,410","63,212,384",+1.34%,Africa,Southern Africa
26,Italy,"59,619,115","59,499,453",−0.20%,Europe,Southern Europe
27,Kenya,"54,252,461","55,339,003",+2.00%,Africa,Eastern Africa
28,Myanmar,"53,756,787","54,133,798",+0.70%,Asia,South-eastern Asia
29,Colombia,"51,737,944","52,321,152",+1.13%,Americas,South America
